Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Year,Month,Day,Month_Name,Year_Month,Transaction_Type,Abs_Price,Refund_Amount,Sales_Amount
T0001,2024-08-02,C2205,Headphones,5.0,420.21,Pay pal,completed,2024,8,2,August,2024-08,Sale,420.21,0.0,420.21
T0002,2020-02-10,C3156,Coffee Machine,469.0,-445.3420252539559,Creditcard,pending,2020,2,10,February,2020-02,Refund/Reversal,445.3420252539559,445.3420252539559,0.0
T0004,2020-08-17,C3009,Tablet,7.0,868.6083413217348,Paypal,pending,2020,8,17,August,2020-08,Sale,868.6083413217348,0.0,868.6083413217348
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,Creditcard,failed,2020,6,19,June,2020-06,Sale,905.5147299335418,0.0,905.5147299335418
T0017,2020-07-07,C3776,Smartphone,236.0,-94.55726526729006,Credit card,pending,2020,7,7,July,2020-07,Refund/Reversal,94.55726526729006,94.55726526729006,0.0
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,Paypal,completed,2022,11,18,November,2022-11,Sale,276.93632041675164,0.0,276.93632041675164
T0031,2024-07-17,C3672,Tablet,5.0,787.9940762988269,Credit card,completed,2024,7,17,July,2024-07,Sale,787.9940762988269,0.0,787.9940762988269
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,Credit card,completed,2022,7,25,July,2022-07,Sale,970.28,0.0,970.28
T0052,2022-12-20,C4029,Headphones,839.0,-756.3340765354607,Paypal,pending,2022,12,20,December,2022-12,Refund/Reversal,756.3340765354607,756.3340765354607,0.0
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,Credit card,failed,2022,7,22,July,2022-07,Sale,154.18505403344284,0.0,154.18505403344284
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,Creditcard,pending,2024,4,17,April,2024-04,Sale,130.23186429200612,0.0,130.23186429200612
